Mon Aug 20 17:27:59 2018    profile.stats

         328200 function calls (322435 primitive calls) in 0.546 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.007    0.000 E:\python\python36\lib\re.py:231(compile)
        1    0.000    0.000    0.000    0.000 E:\python\python36\lib\re.py:249(escape)
      154    0.000    0.000    0.008    0.000 E:\python\python36\lib\re.py:286(_compile)
       43    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:20(_is_descriptor)
       60    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:28(_is_dunder)
       60    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:36(_is_sunder)
        1    0.000    0.000    0.000    0.000 E:\python\python36\lib\copyreg.py:22(constructor)
        7    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:65(__init__)
       60    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:70(__setitem__)
        1    0.000    0.000    0.000    0.000 E:\python\python36\lib\copyreg.py:12(pickle)
        7    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:114(__prepare__)
        7    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:135(<dictcomp>)
        7    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:160(<setcomp>)
       21    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:179(<genexpr>)
        7    0.000    0.000    0.001    0.000 E:\python\python36\lib\enum.py:124(__new__)
     1594    0.001    0.000    0.003    0.000 E:\python\python36\lib\enum.py:265(__call__)
        7    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:310(__getattr__)
        6    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:335(__members__)
       90    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:351(__setattr__)
        6    0.000    0.000    0.001    0.000 E:\python\python36\lib\enum.py:364(_create_)
       20    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:417(_get_mixins_)
        7    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:462(_find_new_)
       84    0.000    0.000    0.000    0.000 E:\python\python36\lib\sre_compile.py:102(fixup)
     1588    0.001    0.000    0.001    0.000 E:\python\python36\lib\enum.py:515(__new__)
       70    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:592(name)
        4    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:597(value)
        6    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:623(<listcomp>)
       38    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:628(<lambda>)
        6    0.000    0.000    0.002    0.000 E:\python\python36\lib\enum.py:602(_convert)
    84/22    0.001    0.000    0.003    0.000 E:\python\python36\lib\sre_compile.py:64(_compile)
       43    0.000    0.000    0.002    0.000 E:\python\python36\lib\sre_compile.py:223(_compile_charset)
       43    0.001    0.000    0.002    0.000 E:\python\python36\lib\sre_compile.py:250(_optimize_charset)
        4    0.000    0.000    0.000    0.000 E:\python\python36\lib\enum.py:758(_missing_)
